0,AIOneName,AIOneDiff,AITwoName,AITwoDiff,WhoWentFirst,WinnerName,WinnerDiff,WinnerSymbol
991,AI_1,1,AI_2,0,1,AI_2,0,O
992,AI_1,0,AI_2,2,0,TIE,N/A,N/A
993,AI_1,0,AI_2,0,0,AI_1,0,X
994,AI_1,1,AI_2,0,0,AI_2,0,O
995,AI_1,2,AI_2,0,0,AI_1,2,X
996,AI_1,0,AI_2,0,0,AI_2,0,O
997,AI_1,0,AI_2,1,1,TIE,N/A,N/A
998,AI_1,2,AI_2,1,0,TIE,N/A,N/A
999,AI_1,1,AI_2,1,1,TIE,N/A,N/A
1000,AI_1,0,AI_2,2,0,TIE,N/A,N/A
1001,AI_1,1,AI_2,1,0,TIE,N/A,N/A
1002,AI_1,2,AI_2,2,1,AI_2,2,O
1003,AI_1,2,AI_2,2,1,AI_2,2,O
1004,AI_1,2,AI_2,2,0,TIE,N/A,N/A
